,Rooms,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,Year,Month,Type_t,Type_u,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Price
36,3,2.5,3067.0,1.0,0.0,183.0,-37.8022,144.9975,4019.0,2016,9,0,0,0,1,0,0,0,0,0,955000.0
37,2,2.5,3067.0,1.0,1.0,150.0,-37.8011,145.0004,4019.0,2016,9,0,0,0,1,0,0,0,0,0,890000.0
38,4,2.5,3067.0,2.0,2.0,780.0,-37.8073,144.9952,4019.0,2017,3,0,0,0,1,0,0,0,0,0,1330000.0
40,3,2.5,3067.0,2.0,2.0,0.0,-37.8093,144.9959,4019.0,2017,3,1,0,0,1,0,0,0,0,0,900000.0
41,3,2.5,3067.0,2.0,2.0,4290.0,-37.8078,144.9965,4019.0,2017,3,0,1,0,1,0,0,0,0,0,1090000.0
42,2,2.5,3067.0,1.0,1.0,0.0,-37.8015,144.9972,4019.0,2016,6,0,1,0,1,0,0,0,0,0,500000.0
43,2,2.5,3067.0,2.0,1.0,124.0,-37.8079,144.9977,4019.0,2016,6,0,0,0,1,0,0,0,0,0,1100000.0
44,2,2.5,3067.0,1.0,0.0,147.0,-37.808,144.994,4019.0,2016,11,0,0,0,1,0,0,0,0,0,1315000.0
45,1,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,11,0,1,0,1,0,0,0,0,0,480000.0
46,1,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,5,0,1,0,1,0,0,0,0,0,423500.0
48,1,2.5,3067.0,1.0,1.0,0.0,-37.8016,144.9988,4019.0,2016,8,0,1,0,1,0,0,0,0,0,426000.0
49,3,2.5,3067.0,3.0,1.0,166.0,-37.8017,145.0001,4019.0,2016,8,0,0,0,1,0,0,0,0,0,1447500.0
50,1,2.5,3067.0,1.0,1.0,0.0,-37.8078,144.9965,4019.0,2016,8,0,1,0,1,0,0,0,0,0,457000.0
51,2,2.5,3067.0,2.0,2.0,98.0,-37.8005,144.9952,4019.0,2016,8,0,0,0,1,0,0,0,0,0,1135000.0
52,2,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,4,0,0,0,1,0,0,0,0,0,700000.0
53,4,2.5,3067.0,3.0,1.0,0.0,-37.7994,144.9965,4019.0,2016,9,0,0,0,1,0,0,0,0,0,1542000.0
54,3,2.5,3067.0,1.0,2.0,512.0,-37.7972,144.9969,4019.0,2017,2,1,0,0,1,0,0,0,0,0,962000.0
55,3,2.5,3067.0,2.0,2.0,147.0,-37.805,144.9943,4019.0,2017,2,0,0,0,1,0,0,0,0,0,1290000.0
56,3,2.5,3067.0,1.0,1.0,168.0,-37.8007,144.9958,4019.0,2017,2,0,0,0,1,0,0,0,0,0,1290000.0
57,1,2.5,3067.0,1.0,1.0,0.0,-37.8055,144.9961,4019.0,2016,7,0,1,0,1,0,0,0,0,0,470000.0
58,2,2.5,3067.0,1.0,0.0,162.0,-37.8016,144.9956,4019.0,2016,11,0,0,0,1,0,0,0,0,0,1180000.0
59,3,2.5,3067.0,2.0,1.0,120.0,-37.8022,144.9954,4019.0,2016,11,0,0,0,1,0,0,0,0,0,1195000.0
61,2,2.5,3067.0,1.0,0.0,182.0,-37.8021,144.9976,4019.0,2016,5,0,0,0,1,0,0,0,0,0,1012500.0
62,2,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,5,0,1,0,1,0,0,0,0,0,970000.0
63,2,2.5,3067.0,1.0,1.0,172.0,-37.8086,144.9946,4019.0,2016,7,0,0,0,1,0,0,0,0,0,1030000.0
65,3,2.5,3067.0,1.0,2.0,512.0,-37.80046,145.0032,4019.0,2016,7,0,0,0,1,0,0,0,0,0,927000.0
66,3,13.5,3042.0,2.0,1.0,303.0,-37.718,144.878,3464.0,2016,3,1,0,0,0,0,0,0,1,0,840000.0
67,3,13.5,3042.0,2.0,1.0,0.0,-37.7203,144.8755,3464.0,2016,3,0,0,0,0,0,0,0,1,0,730000.0
68,3,13.5,3042.0,2.0,1.0,0.0,-37.7203,144.8755,3464.0,2017,4,0,0,0,0,0,0,0,1,0,770000.0
70,2,13.5,3042.0,1.0,1.0,272.0,-37.7294,144.888,3464.0,2017,4,0,0,0,0,0,0,0,1,0,603000.0
71,3,13.5,3042.0,2.0,2.0,239.0,-37.7218,144.8837,3464.0,2017,4,1,0,0,0,0,0,0,1,0,700000.0
72,3,13.5,3042.0,1.0,1.0,290.0,-37.7273,144.8744,3464.0,2017,4,0,0,0,0,0,0,0,1,0,600000.0
73,2,13.5,3042.0,1.0,1.0,168.0,-37.7215,144.8864,3464.0,2017,4,0,1,0,0,0,0,0,1,0,500000.0
74,2,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,4,1,0,0,0,0,0,0,1,0,420000.0
75,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,4,1,0,0,0,0,0,0,1,0,500000.0
76,5,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,6,0,0,0,0,0,0,0,1,0,1035000.0
77,4,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,6,0,0,0,0,0,0,0,1,0,960000.0
78,4,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,6,0,0,0,0,0,0,0,1,0,960000.0
79,3,13.5,3042.0,1.0,1.0,620.0,-37.7173,144.8872,3464.0,2016,6,0,0,0,0,0,0,0,1,0,720000.0
80,4,13.5,3042.0,1.0,2.0,597.0,-37.7259,144.8792,3464.0,2016,6,0,0,0,0,0,0,0,1,0,785000.0
81,6,13.5,3042.0,3.0,2.0,976.0,-37.7239,144.8735,3464.0,2016,7,0,0,0,0,0,0,0,1,0,725000.0
82,2,13.5,3042.0,1.0,1.0,110.0,-37.7216,144.871,3464.0,2016,7,1,0,0,0,0,0,0,1,0,450000.0
83,2,13.5,3042.0,1.0,1.0,141.0,-37.7298,144.8883,3464.0,2016,7,0,1,0,0,0,0,0,1,0,515000.0
84,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,8,0,0,0,0,0,0,0,1,0,680000.0
85,2,13.5,3042.0,1.0,1.0,120.0,-37.7234,144.8792,3464.0,2016,10,0,1,0,0,0,0,0,1,0,530000.0
86,3,13.5,3042.0,1.0,6.0,1063.0,-37.7249,144.8728,3464.0,2016,10,0,0,0,0,0,0,0,1,0,895000.0
87,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,10,0,1,0,0,0,0,0,1,0,600000.0
88,3,13.5,3042.0,1.0,1.0,0.0,-37.7217,144.8783,3464.0,2016,10,0,0,0,0,0,0,0,1,0,805000.0
89,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,10,1,0,0,0,0,0,0,1,0,760000.0
90,3,13.5,3042.0,1.0,1.0,265.0,-37.7302,144.8855,3464.0,2017,11,0,1,0,0,0,0,0,1,0,752000.0
91,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,12,0,1,0,0,0,0,0,1,0,580000.0
92,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,12,0,0,0,0,0,0,0,1,0,725000.0
93,4,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,8,0,0,0,0,0,0,0,1,0,758000.0
94,2,13.5,3042.0,1.0,1.0,192.0,-37.7177,144.8787,3464.0,2016,8,0,1,0,0,0,0,0,1,0,440000.0
95,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,5,0,0,0,0,0,0,0,1,0,970000.0
96,5,13.5,3042.0,2.0,2.0,596.0,-37.7248,144.8699,3464.0,2016,5,0,0,0,0,0,0,0,1,0,755000.0
97,4,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,10,0,0,0,0,0,0,0,1,0,985000.0
98,3,13.5,3042.0,2.0,2.0,165.0,-37.727,144.887,3464.0,2016,10,1,0,0,0,0,0,0,1,0,700000.0
99,2,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,10,0,1,0,0,0,0,0,1,0,509500.0
100,3,13.5,3042.0,1.0,2.0,971.0,-37.7186,144.876,3464.0,2016,4,0,0,0,0,0,0,0,1,0,830000.0
101,2,13.5,3042.0,1.0,1.0,164.0,-37.7218,144.8863,3464.0,2016,7,0,1,0,0,0,0,0,1,0,462500.0
102,3,13.5,3042.0,2.0,2.0,657.0,-37.7269,144.8742,3464.0,2016,7,0,0,0,0,0,0,0,1,0,670000.0
103,2,13.5,3042.0,1.0,1.0,612.0,-37.7187,144.8765,3464.0,2016,7,0,0,0,0,0,0,0,1,0,675000.0
104,3,13.5,3042.0,2.0,5.0,612.0,-37.7173,144.8796,3464.0,2016,7,0,0,0,0,0,0,0,1,0,1042000.0
105,3,13.5,3042.0,1.0,1.0,775.0,-37.7231,144.8835,3464.0,2016,9,0,0,0,0,0,0,0,1,0,910000.0
106,4,13.5,3042.0,3.0,4.0,531.0,-37.7263,144.8679,3464.0,2016,9,0,0,0,0,0,0,0,1,0,773000.0
107,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,9,0,0,0,0,0,0,0,1,0,715000.0
108,3,13.5,3042.0,3.0,2.0,555.0,-37.7285,144.8694,3464.0,2017,3,0,0,0,0,0,0,0,1,0,810000.0
109,3,13.5,3042.0,2.0,2.0,422.0,-37.7164,144.8792,3464.0,2017,3,0,0,0,0,0,0,0,1,0,715000.0
110,3,13.5,3042.0,1.0,3.0,614.0,-37.7194,144.8827,3464.0,2017,3,0,0,0,0,0,0,0,1,0,790000.0
111,2,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,6,1,0,0,0,0,0,0,1,0,460000.0
112,3,13.5,3042.0,2.0,1.0,161.0,-37.7231,144.8802,3464.0,2016,6,1,0,0,0,0,0,0,1,0,540000.0
113,3,13.5,3042.0,2.0,1.0,293.0,-37.72,144.8776,3464.0,2016,11,1,0,0,0,0,0,0,1,0,825000.0
114,3,13.5,3042.0,1.0,1.0,579.0,-37.7226,144.8733,3464.0,2016,5,0,0,0,0,0,0,0,1,0,685000.0
115,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,5,0,1,0,0,0,0,0,1,0,445000.0
116,3,13.5,3042.0,1.0,1.0,623.0,-37.7184,144.882,3464.0,2016,8,0,0,0,0,0,0,0,1,0,805000.0
117,2,13.5,3042.0,1.0,1.0,141.0,-37.7202,144.8797,3464.0,2016,8,0,1,0,0,0,0,0,1,0,510000.0
118,3,13.5,3042.0,2.0,1.0,212.0,-37.7181,144.8824,3464.0,2016,8,0,0,0,0,0,0,0,1,0,612000.0
119,3,13.5,3042.0,1.0,2.0,612.0,-37.7169,144.8815,3464.0,2016,4,0,0,0,0,0,0,0,1,0,662000.0
120,4,13.5,3042.0,3.0,2.0,532.0,-37.7263,144.869,3464.0,2016,9,0,0,0,0,0,0,0,1,0,978000.0
122,3,13.5,3042.0,1.0,1.0,585.0,-37.72,144.878,3464.0,2017,2,0,0,0,0,0,0,0,1,0,720000.0
123,2,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,7,0,1,0,0,0,0,0,1,0,474000.0
124,2,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,7,1,0,0,0,0,0,0,1,0,490000.0
125,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,6,0,0,0,0,0,0,0,1,0,405000.0
126,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,11,1,0,0,0,0,0,0,1,0,715000.0
127,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,11,0,1,0,0,0,0,0,1,0,671500.0
128,4,13.5,3042.0,1.0,2.0,509.0,-37.7261,144.8785,3464.0,2016,11,0,0,0,0,0,0,0,1,0,765000.0
129,4,13.5,3042.0,2.0,3.0,628.0,-37.7256,144.8739,3464.0,2016,11,0,0,0,0,0,0,0,1,0,900000.0
130,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,8,0,1,0,0,0,0,0,1,0,820000.0
131,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,7,0,1,0,0,0,0,0,1,0,650000.0
132,3,13.5,3042.0,1.0,2.0,512.0,-37.80046,145.0032,3464.0,2016,7,1,0,0,0,0,0,0,1,0,552000.0
133,2,3.3,3206.0,1.0,0.0,120.0,-37.8459,144.9555,3280.0,2016,3,0,0,0,0,0,0,1,0,0,1275000.0
134,2,3.3,3206.0,1.0,0.0,159.0,-37.845,144.9538,3280.0,2016,3,0,0,0,0,0,0,1,0,0,1455000.0
135,3,3.3,3206.0,2.0,0.0,211.0,-37.8481,144.9499,3280.0,2017,4,0,0,0,0,0,0,1,0,0,2850000.0
136,3,3.3,3206.0,2.0,0.0,128.0,-37.8452,144.9488,3280.0,2017,4,0,0,0,0,0,0,1,0,0,1850000.0
138,2,3.3,3206.0,1.0,0.0,130.0,-37.8431,144.9565,3280.0,2017,4,0,0,0,0,0,0,1,0,0,1436000.0
140,2,3.3,3206.0,1.0,0.0,147.0,-37.8444,144.9484,3280.0,2016,6,0,0,0,0,0,0,1,0,0,1110000.0
141,2,3.3,3206.0,1.0,1.0,167.0,-37.8405,144.9521,3280.0,2016,7,0,0,0,0,0,0,1,0,0,1550000.0
142,4,3.3,3206.0,2.0,1.0,153.0,-37.8447,144.9523,3280.0,2016,7,0,0,0,0,0,0,1,0,0,2300000.0
144,3,3.3,3206.0,2.0,2.0,718.0,-37.8443,144.9598,3280.0,2016,7,1,0,0,0,0,0,1,0,0,1550000.0
145,3,3.3,3206.0,2.0,1.0,132.0,-37.8415,144.952,3280.0,2016,7,0,0,0,0,0,0,1,0,0,1800000.0
146,3,3.3,3206.0,1.0,2.0,512.0,-37.80046,145.0032,3280.0,2016,8,0,0,0,0,0,0,1,0,0,2485000.0
147,2,3.3,3206.0,1.0,1.0,199.0,-37.8422,144.9554,3280.0,2016,10,0,0,0,0,0,0,1,0,0,2120000.0
148,3,3.3,3206.0,1.0,1.0,253.0,-37.8443,144.9579,3280.0,2016,10,0,0,0,0,0,0,1,0,0,1800000.0
149,3,3.3,3206.0,2.0,1.0,90.0,-37.8421,144.9571,3280.0,2016,10,0,0,0,0,0,0,1,0,0,1800000.0
151,2,3.3,3206.0,1.0,0.0,240.0,-37.8379,144.9539,3280.0,2016,10,0,0,0,0,0,0,1,0,0,1810000.0
152,3,3.3,3206.0,2.0,1.0,177.0,-37.8415,144.9585,3280.0,2016,10,0,0,0,0,0,0,1,0,0,2615000.0
153,5,3.3,3206.0,2.0,1.0,237.0,-37.8436,144.9557,3280.0,2016,10,0,0,0,0,0,0,1,0,0,2100000.0
154,3,3.3,3206.0,1.0,0.0,129.0,-37.8422,144.94899999999998,3280.0,2016,10,0,0,0,0,0,0,1,0,0,1300000.0
155,3,3.3,3206.0,2.0,2.0,0.0,-37.8451,144.9511,3280.0,2016,12,0,0,0,0,0,0,1,0,0,1370000.0
156,2,3.3,3206.0,1.0,0.0,288.0,-37.8407,144.9523,3280.0,2016,12,0,0,0,0,0,0,1,0,0,1000000.0
158,3,3.3,3206.0,2.0,1.0,228.0,-37.8445,144.9501,3280.0,2016,10,0,0,0,0,0,0,1,0,0,2575000.0
159,2,3.3,3206.0,1.0,0.0,149.0,-37.8443,144.9481,3280.0,2016,10,0,0,0,0,0,0,1,0,0,1322500.0
161,2,3.3,3206.0,1.0,0.0,141.0,-37.8424,144.9562,3280.0,2016,10,0,0,0,0,0,0,1,0,0,1562500.0
162,3,3.3,3206.0,2.0,1.0,211.0,-37.847,144.9575,3280.0,2016,4,0,0,0,0,0,0,1,0,0,2000000.0
165,3,3.3,3206.0,1.0,0.0,209.0,-37.8468,144.9546,3280.0,2017,3,0,0,0,0,0,0,1,0,0,1900000.0
166,3,3.3,3206.0,2.0,0.0,147.0,-37.8473,144.9551,3280.0,2017,3,0,0,0,0,0,0,1,0,0,3010000.0
168,4,3.3,3206.0,3.0,1.0,327.0,-37.8467,144.9475,3280.0,2016,6,0,0,0,0,0,0,1,0,0,2800000.0
170,2,3.3,3206.0,1.0,1.0,0.0,-37.846,144.9542,3280.0,2016,5,0,1,0,0,0,0,1,0,0,647000.0
172,3,3.3,3206.0,1.0,1.0,120.0,-37.8427,144.9546,3280.0,2016,4,0,0,0,0,0,0,1,0,0,2100000.0
176,3,3.3,3206.0,1.0,1.0,238.0,-37.8461,144.9528,3280.0,2016,9,0,0,0,0,0,0,1,0,0,2000000.0
177,1,3.3,3206.0,1.0,0.0,0.0,-37.8421,144.9517,3280.0,2017,2,0,1,0,0,0,0,1,0,0,442500.0
178,4,3.3,3206.0,2.0,1.0,330.0,-37.8477,144.9558,3280.0,2017,2,0,0,0,0,0,0,1,0,0,4735000.0
179,2,3.3,3206.0,1.0,0.0,136.0,-37.846,144.9517,3280.0,2017,2,0,0,0,0,0,0,1,0,0,1340000.0
180,3,3.3,3206.0,1.0,1.0,202.0,-37.8429,144.9493,3280.0,2017,2,0,0,0,0,0,0,1,0,0,1801000.0
181,3,3.3,3206.0,3.0,1.0,0.0,-37.8415,144.9585,3280.0,2016,7,0,0,0,0,0,0,1,0,0,1532000.0
182,3,3.3,3206.0,2.0,2.0,325.0,-37.8413,144.95,3280.0,2016,7,0,0,0,0,0,0,1,0,0,3755000.0
183,4,3.3,3206.0,2.0,1.0,183.0,-37.8434,144.9495,3280.0,2016,6,0,0,0,0,0,0,1,0,0,2140000.0
184,2,3.3,3206.0,1.0,2.0,512.0,-37.80046,145.0032,3280.0,2016,6,0,1,0,0,0,0,1,0,0,1810000.0
185,2,3.3,3206.0,1.0,1.0,162.0,-37.8416,144.9488,3280.0,2016,11,0,0,0,0,0,0,1,0,0,1750000.0
186,2,3.3,3206.0,1.0,0.0,79.0,-37.8387,144.9519,3280.0,2016,5,0,0,0,0,0,0,1,0,0,980000.0
190,3,3.3,3206.0,2.0,0.0,152.0,-37.8488,144.9551,3280.0,2016,8,0,0,0,0,0,0,1,0,0,2030000.0
191,3,3.3,3206.0,2.0,2.0,147.0,-37.8448,144.9453,3280.0,2016,8,0,0,0,0,0,0,1,0,0,1740000.0
192,3,3.3,3206.0,3.0,1.0,0.0,-37.8399,144.9577,3280.0,2016,7,0,0,0,0,0,0,1,0,0,2800000.0
193,1,3.3,3206.0,1.0,0.0,81.0,-37.8411,144.9497,3280.0,2016,7,0,0,0,0,0,0,1,0,0,985000.0
195,4,6.4,3078.0,2.0,4.0,853.0,-37.7707,145.0318,2211.0,2016,3,0,0,0,1,0,0,0,0,0,2000000.0
196,3,6.4,3078.0,2.0,2.0,208.0,-37.7854,145.0325,2211.0,2016,3,0,0,0,1,0,0,0,0,0,1110000.0
197,3,6.4,3078.0,2.0,2.0,411.0,-37.7713,145.0279,2211.0,2017,4,0,0,0,1,0,0,0,0,0,1492000.0
198,2,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,7,0,1,0,1,0,0,0,0,0,480000.0
200,3,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,8,1,0,0,1,0,0,0,0,0,1304000.0
201,4,6.4,3078.0,2.0,1.0,599.0,-37.7717,145.031,2211.0,2016,8,0,0,0,1,0,0,0,0,0,1717500.0
202,5,6.4,3078.0,4.0,4.0,809.0,-37.775,145.0268,2211.0,2016,12,0,0,0,1,0,0,0,0,0,2840000.0
204,2,6.4,3078.0,1.0,1.0,88.0,-37.7791,145.0306,2211.0,2016,12,0,1,0,1,0,0,0,0,0,525500.0
205,2,6.4,3078.0,2.0,3.0,155.0,-37.7804,145.0308,2211.0,2016,12,1,0,0,1,0,0,0,0,0,805000.0
206,2,6.4,3078.0,1.0,1.0,0.0,-37.7773,145.0314,2211.0,2016,12,0,1,0,1,0,0,0,0,0,465000.0
208,3,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,8,0,0,0,1,0,0,0,0,0,1480000.0
209,3,6.4,3078.0,3.0,2.0,686.0,-37.78,145.0341,2211.0,2016,10,0,0,0,1,0,0,0,0,0,2000000.0
210,3,6.4,3078.0,1.0,2.0,592.0,-37.7755,145.0288,2211.0,2016,4,0,0,0,1,0,0,0,0,0,1540000.0
212,2,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,9,0,1,0,1,0,0,0,0,0,590000.0
213,2,6.4,3078.0,1.0,1.0,183.0,-37.7747,145.0264,2211.0,2017,3,0,1,0,1,0,0,0,0,0,820000.0
214,4,6.4,3078.0,2.0,2.0,606.0,-37.7743,145.0316,2211.0,2016,11,0,0,0,1,0,0,0,0,0,1830000.0
215,4,6.4,3078.0,2.0,2.0,575.0,-37.7723,145.0319,2211.0,2016,11,0,0,0,1,0,0,0,0,0,2100000.0
216,3,6.4,3078.0,1.0,1.0,180.0,-37.7802,145.0243,2211.0,2016,5,0,0,0,1,0,0,0,0,0,865000.0
217,2,6.4,3078.0,1.0,1.0,0.0,-37.7773,145.0314,2211.0,2016,5,0,1,0,1,0,0,0,0,0,390000.0
218,2,6.4,3078.0,1.0,0.0,0.0,-37.7848,145.025,2211.0,2016,9,1,0,0,1,0,0,0,0,0,650000.0
219,2,6.4,3078.0,1.0,1.0,0.0,-37.7805,145.0262,2211.0,2017,2,0,1,0,1,0,0,0,0,0,512000.0
220,3,6.4,3078.0,1.0,2.0,512.0,-37.7796,145.0285,2211.0,2017,2,0,0,0,1,0,0,0,0,0,1361000.0
222,3,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,7,0,0,0,1,0,0,0,0,0,1310000.0
223,3,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,6,0,0,0,1,0,0,0,0,0,570000.0
224,3,6.4,3078.0,1.0,2.0,979.0,-37.7792,145.029,2211.0,2016,6,0,0,0,1,0,0,0,0,0,1165000.0
225,2,6.4,3078.0,1.0,2.0,512.0,-37.80046,145.0032,2211.0,2016,11,0,1,0,1,0,0,0,0,0,530000.0
226,4,6.4,3078.0,2.0,2.0,556.0,-37.7844,145.0225,2211.0,2016,11,0,0,0,1,0,0,0,0,0,1900000.0
228,3,6.4,3078.0,0.0,0.0,597.0,-37.7781,145.0284,2211.0,2016,8,0,0,0,1,0,0,0,0,0,1485000.0
229,4,6.4,3078.0,2.0,3.0,589.0,-37.7719,145.0309,2211.0,2016,7,0,0,0,1,0,0,0,0,0,1950000.0
230,3,13.8,3018.0,2.0,1.0,352.0,-37.87,144.825,5301.0,2016,3,0,0,0,0,0,0,0,1,0,520000.0
231,5,13.8,3018.0,3.0,3.0,729.0,-37.8721,144.8105,5301.0,2016,3,0,0,0,0,0,0,0,1,0,1525000.0
232,2,13.8,3018.0,1.0,2.0,292.0,-37.8687,144.8197,5301.0,2016,4,1,0,0,0,0,0,0,1,0,720000.0
233,3,13.8,3018.0,1.0,2.0,506.0,-37.8693,144.8375,5301.0,2017,4,0,0,0,0,0,0,0,1,0,1120000.0
234,4,13.8,3018.0,1.0,4.0,655.0,-37.868,144.8154,5301.0,2016,4,0,0,0,0,0,0,0,1,0,780000.0
235,4,13.8,3018.0,3.0,6.0,1057.0,-37.8681,144.819,5301.0,2016,4,0,0,0,0,0,0,0,1,0,1780000.0
236,3,13.8,3018.0,1.0,2.0,311.0,-37.8702,144.8143,5301.0,2016,6,0,1,0,0,0,0,0,1,0,630000.0
